name,numRecordings,habitat,food,nesting,conservation,AvgWingspan,AvgLength,AvgWeight,order 2,family 2
Abert's Towhee,66,Deserts,Insects,Tree,Least Concern,28,22,47, PASSERIFORMES, EMBERIZIDAE
Acorn Woodpecker,98,Open Woodland,Insects,Cavity,Least Concern,39,21,77.5, PICIFORMES, PICIDAE
African Collared-Dove,0,Open Woodland,Seeds,Tree,Least Concern,47.5,26.5,148, COLUMBIFORMES, COLUMBIDAE
Alder Flycatcher,172,Scrub,Insects,Shrub,Least Concern,22.5,15,13, PASSERIFORMES, TYRANNIDAE
Allen's Hummingbird,12,Open Woodland,Nectar,Shrub,Least Concern,11,9,3, APODIFORMES, TROCHILIDAE
Altamira Oriole,37,Open Woodland,Insects,Tree,Least Concern,36,23,55.5, PASSERIFORMES, ICTERIDAE
American Avocet,19,Marsh,Insects,Ground,Least Concern,72,45,312.5, CHARADRIIFORMES, RECURVIROSTRIDAE
American Bittern,35,Marsh,Fish,Ground,Least Concern,92,72.5,435, PELECANIFORMES, ARDEIDAE
American Black Duck,10,Lake/Pond,Insects,Ground,Least Concern,91.5,56.5,1180, ANSERIFORMES, ANATIDAE
American Coot,89,Lake/Pond,Plants,Floating,Least Concern,60.95,41.15,650, GRUIFORMES, RALLIDAE
American Crow,137,Open Woodland,Omnivore,Tree,Least Concern,92.5,46.5,468, PASSERIFORMES, CORVIDAE
American Dipper,10,River/Stream,Insects,Cliff,Least Concern,23,17,55, PASSERIFORMES, CINCLIDAE
American Golden-Plover,0,Grassland,Insects,Ground,Least Concern,57,26,158, CHARADRIIFORMES, CHARADRIIDAE
American Goldfinch,114,Open Woodland,Seeds,Shrub,Least Concern,20.5,12,15.5, PASSERIFORMES, FRINGILLIDAE
American Kestrel,45,Open Woodland,Insects,Cavity,Least Concern,56,26.5,122.5, FALCONIFORMES, FALCONIDAE
American Oystercatcher,27,Shore-line,Insects,Ground,Least Concern,81,42,550, CHARADRIIFORMES, HAEMATOPODIDAE
American Pipit,0,Grassland,Insects,Ground,Least Concern,27,15.5,22.5, PASSERIFORMES, MOTACILLIDAE
American Redstart,184,Forest,Insects,Tree,Least Concern,17.5,12,7.5, PASSERIFORMES, PARULIDAE
American Robin,282,Open Woodland,Insects,Tree,Least Concern,35.5,24,81, PASSERIFORMES, TURDIDAE
American Three-toed Woodpecker,36,Forest,Insects,Cavity,Least Concern,38,20,65, PICIFORMES, PICIDAE
American Tree Sparrow,60,Open Woodland,Seeds,Ground,Least Concern,24,14,20.5, PASSERIFORMES, EMBERIZIDAE
American White Pelican,5,Lake/Pond,Fish,Ground,Least Concern,267,146,6750, PELECANIFORMES, PELECANIDAE
American Wigeon,27,Lake/Pond,Plants,Ground,Least Concern,84,50.5,935, ANSERIFORMES, ANATIDAE
American Woodcock,55,Forest,Insects,Ground,Least Concern,45,28,197.5, CHARADRIIFORMES, SCOLOPACIDAE
Ancient Murrelet,3,Ocean,Fish,Burrow,Least Concern,45.5,22,201.5, CHARADRIIFORMES, ALCIDAE
Anhinga,46,Marsh,Fish,Shrub,Least Concern,109,85,1337.5, SULIFORMES, ANHINGIDAE
Anna's Hummingbird,110,Open Woodland,Nectar,Tree,Least Concern,12,10,4.5, APODIFORMES, TROCHILIDAE
Arctic Tern,68,Shore-line,Fish,Ground,Least Concern,70,33.5,105, CHARADRIIFORMES, LARIDAE
Arctic Warbler,68,Forest,Insects,Ground,Least Concern,20,12,10, PASSERIFORMES, PHYLLOSCOPIDAE
